data_tag,goal_tag,interval,task_tag,scene_object,video_success,task_matches_scene,goal_success,incremental_final,incremental_max,incremental_min,incremental_mean,incremental_max_drawdown,incremental_neg_hop_sum,incremental_pos_hop_sum,incremental_min_hop,incremental_max_hop,incremental_neg_hop_count,backward_final,backward_max,backward_min,backward_mean,backward_max_drawdown,backward_neg_hop_sum,backward_pos_hop_sum,backward_min_hop,backward_max_hop,backward_neg_hop_count,forward_final,forward_max,forward_min,forward_mean,forward_max_drawdown,forward_neg_hop_sum,forward_pos_hop_sum,forward_min_hop,forward_max_hop,forward_neg_hop_count,baseline_final_avg,trajectory_mean_avg,max_drawdown_avg,neg_hop_sum_avg
pick3fail_4,blank,10,cube,carrot,False,False,False,66.74983696494591,66.74983696494591,0.0,15.654341544815992,2.9512399168000005,160.0,106.8,-50.0,25.0,6,0.0,100.0,0.0,28.439560439560438,100.0,361.1,361.1,-100.0,100.0,23,96.2,96.2,0.0,34.4,33.8,119.00000000000001,215.20000000000002,-25.799999999999994,13.0,23,54.31661232164864,26.164633994792144,45.583746638933334,213.36666666666667
pick3fail_4,blank,20,bottle,carrot,False,False,False,64.30054028313324,65.43269279656144,0.0,23.49864079571822,10.50218669741345,220.9,138.29999999999998,-50.0,14.3,8,4.5000000000000036,75.0,0.0,20.423913043478258,75.0,114.10000000000004,118.60000000000004,-64.5,16.700000000000003,13,40.0,66.7,0.0,24.452173913043477,26.700000000000003,78.1,118.09999999999998,-22.299999999999997,18.099999999999998,14,36.26684676104442,22.79157591741332,37.40072889913782,137.70000000000002
pick3fail_4,blank,20,carrot,carrot,False,True,False,83.7905486065741,83.7905486065741,0.0,33.62404385916185,20.868515364191538,191.0,222.10000000000002,-50.0,33.3,8,90.0,100.0,4.799999999999994,38.449999999999996,36.3,68.7,158.70000000000002,-29.800000000000004,20.499999999999996,9,95.2,95.2,0.0,38.06956521739131,32.9,54.80000000000001,150.0,-27.900000000000002,19.699999999999996,10,89.66351620219137,36.71453635885105,30.02283845473051,104.83333333333334
pick3fail_4,blank,20,cube,carrot,False,False,False,83.07032932617038,83.07032932617038,0.0,32.736675817555486,27.206150124610005,161.7,217.60000000000002,-66.7,33.3,4,0.0,100.0,0.0,30.989130434782606,100.0,236.1,236.1,-100.0,100.0,12,96.2,96.2,0.0,36.082608695652176,33.8,69.40000000000002,165.60000000000002,-33.8,20.799999999999997,10,59.7567764420568,33.269471649330086,53.668716708203334,155.73333333333335
pick3fail_5_cube,blank,10,bottle,cube,False,False,False,70.58104914060957,70.58104914060957,0.0,19.562553822783848,4.995040337105452,176.6,124.5,-60.0,33.3,4,0.0,66.7,0.0,16.24019607843137,66.7,142.10000000000002,142.10000000000005,-18.900000000000006,12.4,27,88.0,95.8,0.0,25.350980392156863,18.500000000000007,87.4,175.4,-10.0,35.199999999999996,21,52.86034971353652,20.38457676445736,30.065013445701823,135.36666666666667
pick3fail_5_cube,blank,10,carrot,cube,False,False,False,39.73404785364204,42.22534309632523,0.0,18.602288806073123,8.2699844,105.9,69.3,-50.0,12.5,3,4.799999999999994,75.0,4.799999999999994,21.227450980392156,70.2,300.0,304.79999999999995,-60.0,60.0,25,85.0,85.0,0.0,26.516666666666666,35.0,137.49999999999994,222.49999999999997,-20.899999999999995,35.0,25,43.17801595121401,22.11546881771065,37.823328133333334,181.13333333333333
pick3fail_5_cube,blank,10,cube,cube,False,True,False,77.95774762357301,77.95774762357301,0.0,28.56790546105619,11.788099892852223,145.6,172.7,-50.0,50.0,5,100.0,100.0,5.900000000000006,40.85,35.3,130.1,230.09999999999997,-34.599999999999994,17.600000000000005,23,94.7,94.7,0.0,40.05882352941177,28.9,61.7,156.40000000000003,-22.200000000000003,10.499999999999998,8,90.88591587452434,36.492242996822654,25.32936663095074,112.46666666666667
pick3fail_5_cube,blank,20,bottle,cube,False,False,False,85.51707910019617,85.51707910019617,0.0,32.106066267319115,11.304452655677956,141.6,204.50000000000003,-50.0,25.0,4,0.0,66.7,0.0,15.654901960784313,66.7,105.60000000000004,105.60000000000004,-21.199999999999996,19.100000000000005,18,92.0,92.0,0.0,26.04901960784314,14.200000000000003,39.099999999999994,131.1,-10.0,35.199999999999996,9,59.17235970006539,24.603329278648857,30.734817551892654,95.43333333333334
pick3fail_5_cube,blank,20,carrot,cube,False,False,False,55.93265168330919,70.43533145142054,0.0,29.03955909041426,14.50267976811135,155.70000000000002,137.0,-50.0,12.5,8,4.799999999999994,75.0,4.799999999999994,21.67647058823529,70.2,187.7,192.5,-69.10000000000001,44.99999999999999,13,85.0,85.0,0.0,27.17450980392157,29.599999999999994,82.6,167.60000000000002,-24.0,36.0,16,48.57755056110306,25.96351316085704,38.10089325603712,142.0
pick3fail_5_cube,blank,20,cube,cube,False,True,False,83.22256646387812,93.09345129118506,0.0,44.71557829296316,20.690049417902117,136.5,320.20000000000005,-50.0,50.0,7,100.0,100.0,5.599999999999994,41.188235294117646,23.5,60.10000000000001,160.10000000000002,-20.799999999999997,14.700000000000003,9,94.7,94.7,0.0,40.22941176470589,25.299999999999997,37.6,132.3,-18.6,13.700000000000001,5,92.64085548795937,42.04440845059556,23.16334980596737,78.06666666666666
pick3fail_6_bottle,blank,10,bottle,bottle,False,True,False,96.75868485895474,96.75868485895474,0.0,35.95033622290262,16.543551242243858,123.3,319.1,-40.0,50.0,6,0.0,90.0,0.0,36.13012048192771,90.0,234.20000000000005,234.20000000000002,-84.2,85.0,15,95.2,95.2,0.0,38.84939759036145,23.299999999999997,55.50000000000001,150.70000000000005,-12.5,9.499999999999996,16,63.986228286318244,36.97661809839726,43.281183747414616,137.66666666666669
pick3fail_6_bottle,blank,10,carrot,bottle,False,False,False,69.97140749979732,69.97140749979732,0.0,27.937124390172386,14.540929334795466,101.7,138.9,-25.0,16.7,5,4.5000000000000036,80.0,4.200000000000004,26.179518072289156,75.8,208.20000000000002,212.70000000000005,-70.7,70.7,18,50.0,69.6,0.0,27.442168674698795,25.599999999999994,60.300000000000004,110.3,-10.7,14.499999999999996,18,41.49046916659911,27.186270379053447,38.646976444931816,123.4
pick3fail_6_bottle,blank,10,cube,bottle,False,False,False,63.82301801177797,70.91446445753107,0.0,30.75812681290391,20.803299089905696,113.4,153.6,-25.0,12.5,6,4.799999999999994,75.0,4.5000000000000036,21.40120481927711,70.5,158.0,162.79999999999998,-51.2,22.799999999999997,19,50.0,70.8,0.0,27.61566265060241,25.0,94.90000000000002,144.90000000000003,-14.79999999999999,20.799999999999997,19,39.541006003925986,26.59166476092781,38.7677663633019,122.10000000000001
pick3fail_6_bottle,blank,20,bottle,bottle,False,True,False,90.02066587580913,94.55952297879111,0.0,39.67442765597743,18.258618420821314,143.4,289.6,-50.0,50.0,6,0.0,100.0,0.0,39.58095238095238,100.0,137.9,137.9,-100.0,15.800000000000002,5,95.0,95.2,0.0,39.88809523809524,23.299999999999997,40.6,135.6,-15.0,10.7,7,61.673555291936374,39.71449175834169,47.18620614027377,107.30000000000001
pick3fail_6_bottle,blank,20,carrot,bottle,False,False,False,65.18440593088431,65.18440593088431,0.0,26.531289344741623,11.1024859715,109.30000000000001,136.6,-40.0,14.3,6,4.299999999999993,75.0,4.200000000000004,26.295238095238094,70.8,169.20000000000002,173.49999999999997,-70.7,70.8,13,50.0,66.7,0.0,28.228571428571428,16.700000000000003,32.60000000000001,82.60000000000001,-8.099999999999996,17.4,9,39.82813531029477,27.018366289517047,32.86749532383333,103.70000000000002
pick3fail_6_bottle,blank,20,cube,bottle,False,False,False,48.738982199058285,65.05753446135121,0.0,29.799406263305688,17.26420271597774,99.2,135.29999999999998,-28.6,12.5,6,4.799999999999994,75.0,4.799999999999994,21.85238095238095,70.2,95.30000000000003,100.10000000000002,-60.0,14.3,10,50.0,69.2,0.0,28.192857142857143,23.400000000000006,67.10000000000002,117.10000000000002,-19.200000000000006,20.799999999999997,8,34.51299406635276,26.61488145284793,36.95473423865925,87.20000000000002
